company,idea,industry,subindustry,tags
Adialante,Cancer screening without barriers,Healthcare,Healthcare -> Diagnostics,
Adla,Department store for e-commerce,Consumer,Consumer -> Apparel and Cosmetics,E-commerce
Adni,AI healthcare recruiting platform,Healthcare,Healthcare,Artificial Intelligence|Marketplace|SaaS|Recruiting|Healthcare
Adravision,Automation for dental clinics and insurance companies.,Healthcare,Healthcare -> Healthcare IT,Artificial Intelligence|Healthcare|Health Insurance|Diagnostics
Adri AI,Your AI Partner for SAP Development,B2B,B2B,Enterprise Software|AI
Advanced Metal Research,Machine intelligence for American Welding,Industrials,Industrials -> Manufacturing and Robotics,Hardware|Robotics|Manufacturing
Advantage Club,Global platform for employee engagement with rewards&flexible benefits,B2B,B2B -> Human Resources,SaaS|Human Resources|B2B|HR Tech
Adventris Pharmaceuticals,Adventris makes cancer vaccines,Healthcare,Healthcare -> Drug Discovery and Delivery,Biotech|Healthcare|Therapeutics|Drug discovery|Oncology
Adventurous Co,Disney meets Airbnb Experiences,Consumer,Consumer -> Virtual and Augmented Reality,Travel
adyn,The first test designed to prevent birth control side effects,Healthcare,Healthcare -> Consumer Health and Wellness,Fertility Tech|Machine Learning|Consumer Health Services
Aecore,Vertically integrated commercial construction,Real Estate and Construction,Real Estate and Construction -> Construction,Construction
Aedilic,Open-Source AI-generated image/deepfake detection,B2B,B2B -> Security,Computer Vision|AI
Aegis,AI Agents to win denied health insurance claims.,Healthcare,Healthcare -> Healthcare IT,
Aella,Diversified credit infrastructure powering payments across Africa.,Fintech,Fintech -> Credit and Lending,Banking as a Service|Fintech|Microinsurance
Aemon,The Forward-Deployed AI Research Engineer,B2B,B2B,
Aer,Compound compliance: the central hub for meeting SEC obligations,Fintech,Fintech,Fintech|B2B|Regtech
AeroFS,Secure Enterprise Collaboration.,B2B,B2B -> Infrastructure,Collaboration|Security|Enterprise
Aerogen Systems,Building the future of advanced chip manufacturing.,Industrials,Industrials,Hard Tech|B2B|Manufacturing|Semiconductors
Aerones,Robotics for wind turbine maintenance.,Industrials,Industrials -> Climate,Robotics|Drones|Climate
Aerotime,Calendar that kills time fragmentation,B2B,B2B -> Productivity,SaaS|Productivity
AesculaTech,"Responsive materials, better lives.",Healthcare,Healthcare -> Medical Devices,Medical Devices|Consumer Products
Aesthetic,Your AI-powered creative apprentice 🪄,B2B,"B2B -> Engineering, Product and Design",Design|AI
Affil.ai,AI Affiliate Network For Financial Companies,B2B,B2B -> Marketing,Artificial Intelligence|SaaS|B2B|Compliance|Marketing
Affinity,A compliance training platform built for regulated industries.,B2B,B2B,Fintech|Workflow Automation|Team Collaboration|Compliance|HR Tech
Affogato AI,"Affogato AI - Your Agent for instant TikToks, Reels, and ads.",B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Generative AI|AI
Afriex,"Instant, low-fee remittances",Fintech,Fintech -> Payments,Payments|Remittances
Aftercare,Conversational AI surveys with intelligent follow-up questions,B2B,B2B,SaaS|Productivity|Feedback|Data Visualization
Afternoon.co,"Bookkeeping, compliance and tax for founders",B2B,B2B -> Finance and Accounting,SaaS
Agapé,"Feel close, even when apart. One meaningful conversation at a time.",Healthcare,Healthcare -> Consumer Health and Wellness,Health & Wellness
Agave,AI Financial Operations for Construction,B2B,B2B,SaaS|Construction|B2B|Proptech
Agency,Agency replaces traditional security and compliance headcount with AI.,B2B,B2B -> Security,SaaS|B2B|Compliance|Security|Enterprise
Agency Tool Company,"Reliable infrastructure to build, deploy and manage real-world robots.",Industrials,Industrials -> Manufacturing and Robotics,Developer Tools|Robotics|Automation|Infrastructure|Self-Driving Vehicles
AgendaPro,Shopify for Beauty and Wellness businesses in Latam,B2B,B2B -> Marketing,SaaS|E-commerce
Agent FM,One group chat to hear and steer your coding agents.,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Developer Tools|Productivity
Agentcard,debit cards for AI agents.,Fintech,Fintech,Fintech
AgentCollect,B2B debt collection powered by AI agents,Fintech,Fintech,Artificial Intelligence|Fintech|B2B|Enterprise Software
Agentic Fabriq,The control plane for AI agents.,B2B,B2B -> Security,Artificial Intelligence|B2B|Identity|Cybersecurity
Agentic Labs,AI system design tools for dev teams,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Developer Tools
Agentin AI,AI Agents that automate enterprise software processes,B2B,B2B,Reinforcement Learning|Enterprise|AI
AgentMail,Email Inboxes for AI Agents,B2B,B2B -> Infrastructure,Developer Tools|API|Email
Agentnoon,Org design and workforce planning platform to drive org transformation,B2B,B2B -> Human Resources,
AgentPhone,Phone Numbers for AI Agents,B2B,B2B -> Infrastructure,
AgileMD,Predictive analytics and clinical pathways for hospitals,Healthcare,Healthcare -> Healthcare IT,Machine Learning|Healthcare
Aglide,Connect every disconnected app to your SSO.,B2B,B2B,
Agnost AI,Product Analytics for Conversational Agents,B2B,B2B -> Analytics,Artificial Intelligence|Developer Tools|Analytics|Monitoring
Ahazou,Podium for local businesses in Latam,B2B,B2B -> Marketing,Fintech|SaaS|B2B
AI Insurance,AI Insurance is the platform that runs insurance companies,Fintech,Fintech -> Insurance,Artificial Intelligence|Insurance
AI Tech Packs,Build factory ready tech packs in minutes.,B2B,B2B -> Supply Chain and Logistics,SaaS|Manufacturing
AI.Fashion,AI.Fashion is the AI creative suite for the fashion industry.,B2B,B2B -> Marketing,Artificial Intelligence|Generative AI|Design|Fashion
AICE,Submarine drones for defense,Industrials,Industrials -> Defense,
Aidy,Mobile app helping people better manage chronic health conditions,Healthcare,Healthcare -> Consumer Health and Wellness,Consumer Health Services|Digital Health
AIOS,Building AI-native infrastructure for the next era of care.,Healthcare,Healthcare -> Consumer Health and Wellness,Consumer Health Services|Health Tech|Healthcare|Telemedicine
AiPrise,AI-powered Global Compliance Platform,Fintech,Fintech,Fintech|B2B|Identity|Compliance|Regtech
Airbnb,Book accommodations around the world.,Consumer,"Consumer -> Travel, Leisure and Tourism",Marketplace|Travel
Airbyte,Context layer for production-grade AI agents,B2B,B2B,Artificial Intelligence|Developer Tools|Open Source|Data Engineering|AI
AirCaps,The AI copilot for in-person conversations.,Consumer,Consumer,
Airgoods,The modern distributor for grocers.,B2B,B2B -> Retail,Grocery|Supply Chain|Food & Beverage
Airhart Aeronautics,Airplanes anyone can fly,Industrials,Industrials -> Aviation and Space,Airplanes|Aerospace
Airmada,Autonomous ground stations for drones,Industrials,Industrials -> Drones,Drones|Logistics
AirMyne,Building systems to remove carbon dioxide from air at industrial scale,Industrials,Industrials -> Climate,Carbon Capture and Removal|Hard Tech|Hardware|Climate
Airo Health,Airo is an AI wearable to track mental health.,Healthcare,Healthcare -> Consumer Health and Wellness,Artificial Intelligence|Hard Tech|Hardware|Mental Health Tech|AI
Airthium,Decarbonized heat and power cheaper than fossil fuels,Industrials,Industrials -> Climate,Energy Storage|Hard Tech|Hardware|Climate|Energy
Airtrain AI,No-code data curation for LLM fine-tuning and evaluation.,B2B,B2B -> Infrastructure,AIOps|Developer Tools|SaaS|Cloud Computing|AI
Airweave,The open-source context retrieval layer for agents,B2B,B2B -> Infrastructure,
Airwork,On-demand labour that's actually good,B2B,B2B -> Recruiting and Talent,Marketplace|B2B|Recruiting|Enterprise Software|AI
AiSDR,AI sales prospecting. Replace your SDR with AiSDR,B2B,B2B -> Sales,Artificial Intelligence|SaaS|B2B|Sales|AI
Aisle50,Grocery deals.,Consumer,Consumer -> Home and Personal,Grocery
AiSupervision,The operating system for factory production lines,Industrials,Industrials -> Manufacturing and Robotics,Manufacturing|Industrial
AIVideo.com,Superhuman video production as a service,B2B,B2B,
Ajaib,Consumer fintech for Indonesia,Fintech,Fintech -> Banking and Exchange,Fintech|Consumer
Akido Labs,Rebuilding healthcare with AI at the core,Healthcare,Healthcare -> Healthcare IT,Artificial Intelligence|Deep Learning|Healthcare|AI
Akiflow,All your tasks and calendars into an AI-powered productivity app,B2B,B2B -> Productivity,Productivity
Akkari,Autonomous Customer Operations,B2B,B2B,
Aklimate,Software for enterprises to track and reduce supply chain emissions,B2B,B2B -> Supply Chain and Logistics,SaaS|B2B|Climate
Akon Labs,Nervous System for AI Agents,B2B,B2B,Deep Learning|Generative AI|SaaS
Aktoria Robotics,Human as API for robots,Industrials,Industrials -> Manufacturing and Robotics,Robotics|Enterprise Software
Akudo,India's first learning-focused neobank for teenagers,Fintech,Fintech -> Payments,Fintech
Akute Health,The medical record & infrastructure stack for digital health companies,Healthcare,Healthcare -> Healthcare IT,SaaS|B2B|Telemedicine
Alaan,Modern finance platform for the Middle East,Fintech,Fintech -> Payments,Fintech|Payments|B2B|Enterprise Software
Alai,Create high quality presentations quickly using AI,B2B,B2B,Artificial Intelligence|Productivity
Alana,"Staff management software for retail, manufacturing and hospitality",B2B,B2B -> Recruiting and Talent,SaaS|B2B
Alara,Procurement Platform for Dental Offices,B2B,B2B,Artificial Intelligence|Dental|Procurement
Alba Orbital,"We make satellites to image everywhere on Earth, every 15 minutes",Industrials,Industrials -> Aviation and Space,Hard Tech|Satellites
Albacore Inc.,Drone submarines,Industrials,Industrials -> Defense,Drones|Maritime|Defense
Albedo,Full-stack VLEO satellite missions,Industrials,Industrials -> Aviation and Space,Hard Tech|Satellites|Climate|Aerospace
Albiware Inc.,B2B SaaS for insurance damage repair contractors.,Real Estate and Construction,Real Estate and Construction -> Construction,SaaS|Insurance
Alchemize,Ship more code with confidence,B2B,"B2B -> Engineering, Product and Design",Developer Tools|B2B|Productivity|Enterprise Software
Alchemy,Nanotechnology-enabled coatings for automotive and defence sectors,Industrials,Industrials -> Manufacturing and Robotics,Advanced Materials|Defense|Automotive
Aldara,HOA manager with automated operations,Real Estate and Construction,Real Estate and Construction,Fintech|Real Estate|Proptech
Aleph,One source of truth for financial data.,B2B,B2B -> Finance and Accounting,Finance
Aleph Lab,AI language buddy in the games kids love,Consumer,Consumer,Artificial Intelligence
Aleph Solutions (Alephee),We help automotive aftermarket brands to supply and sell parts online,B2B,B2B -> Retail,Marketplace|B2B|E-commerce
Alex,The Cursor for Xcode,B2B,"B2B -> Engineering, Product and Design",
Alex,Your AI recruiter for interviewing and identifying the best talent,B2B,B2B -> Recruiting and Talent,SaaS|B2B|Recruiting|HR Tech|AI
Alfie,Democratizing access to precision weight loss medications,Healthcare,Healthcare -> Healthcare Services,Digital Health|Telemedicine
Alga Biosciences,We stop cows from burping methane.,Industrials,Industrials -> Climate,Biotech|Climate|Agriculture
Algen Biotechnologies,Using CRISPR to find treatments for cancer and inflammation,Healthcare,Healthcare -> Drug Discovery and Delivery,CRISPR|Biotech|Therapeutics|Drug discovery|AI
Algofi,Building the new financial system,Fintech,Fintech,Crypto / Web3
Algolia,A developer-friendly and enterprise-grade search API.,B2B,"B2B -> Engineering, Product and Design",Developer Tools|SaaS|B2B
AlgoSurg Inc,We make AI technology for Robotic and AR Surgeries,Healthcare,Healthcare -> Healthcare Services,Augmented Reality|Robotic Surgery|Medical Devices
AlgoTest,Ecosystem for options trading in India,Fintech,Fintech,Fintech|No-code
AlgoUniversity,Building Job driven Virtual Tech University for India 🇮🇳,Education,Education,Education|Income Share Agreements|eLearning
AlgoViral,We help high-growth startups go viral on autopilot,B2B,B2B -> Marketing,
Alguna,AI-Native CPQ & Billing for Modern Pricing Models,B2B,B2B -> Finance and Accounting,Fintech|SaaS|B2B|Enterprise|AI
Alice.tech,AI-driven exam prep,Education,Education,AI-Enhanced Learning|Artificial Intelligence|Education|Generative AI|SaaS
Alima,Fresh procurement made easy,B2B,B2B -> Supply Chain and Logistics,B2B|Logistics
Alinea,Automated investing for the next generation 💸,Fintech,Fintech -> Consumer Finance,Artificial Intelligence|Education|Fintech|Social
Alixia,Targeting the Tumor Ecosystem to address cancer drug resistance.,Healthcare,Healthcare -> Therapeutics,Biotech|Therapeutics|Drug discovery|Oncology|Biotechnology
Alkali,The smarter way to estimate steel.,B2B,"B2B -> Engineering, Product and Design",B2B|Design Tools|AI Assistant
Alkera AI,Reliable and safe data engineering and data science agents,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Developer Tools|Data Science|Data Engineering|Enterprise Software
Allia Health,Clinically Integrated Group for Mental Health,Healthcare,Healthcare -> Healthcare Services,Artificial Intelligence|Healthcare|Mental Health
Alloovium,The company brain for construction companies,Real Estate and Construction,Real Estate and Construction -> Construction,Construction|AI
Allotrope Medical,Advancing surgical precision through safe electrical stimulation.,Healthcare,Healthcare -> Medical Devices,Hardware|Robotic Surgery|Medical Devices
Allowance,The spend control layer for AI agents,Fintech,Fintech -> Payments,
Alloy,AI prototyping tool for product managers,B2B,B2B -> Productivity,Design Tools
AllSome Fulfillment,Fulfillment platform to build Southeast Asia e-commerce operations,B2B,B2B -> Supply Chain and Logistics,Warehouse Management Tech|B2B|AI
Alltruists,"Kid-friendly, at-home volunteer projects in a box, delivered bimonthly",Consumer,Consumer -> Job and Career Services,Subscriptions|Kids
Allure Systems,A.I. to create stunning fashion images for eCommerce.,B2B,B2B -> Retail,Generative AI|Computer Vision|E-commerce|AI
Allus AI,Transforming manufacturing with our next-gen Vision Foundation Model,Industrials,Industrials -> Manufacturing and Robotics,Machine Learning|SaaS|Computer Vision|Manufacturing|AI
Alma,Gamified mobile banking app where people can win $1M every Wednesday,Fintech,Fintech -> Consumer Finance,Fintech|Payments|Gaming|Consumer Finance|Neobank
Almanac,The AI that knows you,B2B,B2B,Artificial Intelligence|Generative AI|AI Assistant
Almond,A dual-arm robot built for physical AI.,Industrials,Industrials -> Manufacturing and Robotics,Hardware|Robotics|Manufacturing|Automation|AI
Almond,We make it easy to get great ObGyn care in-person and over telehealth,Healthcare,Healthcare -> Consumer Health and Wellness,Consumer Health Services|Telehealth|Consumer|Healthcare|Femtech
Alokai,Frontend Platform for eCommerce,B2B,"B2B -> Engineering, Product and Design",Developer Tools|Open Source|E-commerce
Alpaca,API-first stock and crypto brokerage platform,Fintech,Fintech -> Banking and Exchange,Developer Tools|Fintech|API|Investing|Infrastructure
Alpas,Software for procurement departments to find suppliers 10x faster,B2B,B2B,Supply Chain|Procurement
Alpha Research,"Open source, agentic knowledge bases for all of humanity's knowledge.",B2B,"B2B -> Engineering, Product and Design",Market Research
AlphaFlow,AlphaFlow is a technology-driven investment manager.,Fintech,Fintech -> Asset Management,Fintech|Real Estate
Alphawatch AI,"Discover new opportunities (jobs, deals, investors)",Fintech,Fintech,Generative AI|Finance|Enterprise|AI Assistant
ALT TEX,"Biodegradable and carbon neutral textiles, engineered from food waste.",Industrials,Industrials -> Climate,Carbon Capture and Removal|Bioplastic|Biotech|Climate|Food Tech
Alt-X,Building the best venue for private markets exposure.,Fintech,Fintech,
Alter,Secure access control and authorization platform for agent workflows,B2B,B2B -> Security,AIOps|Developer Tools|DevSecOps|Security|AI
Alterya,Protecting Humans from Scams,Fintech,Fintech,Fintech|SaaS|Crypto / Web3|Analytics|API
Altrina,The SOP Automation Platform,B2B,B2B -> Productivity,
Altro,Build Credit With Your Subscriptions,Fintech,Fintech -> Consumer Finance,Education|Fintech
Altur,Voice AI Agents for Debt Collection,B2B,B2B,Artificial Intelligence
Aluna,Data for biomedical AI,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence
Amal Invest,Investing app for Muslims,Fintech,Fintech,Fintech|Investing|Retail
AmberBox Gunshot Detection,Detect Gunshots | Inform Law Enforcement | Empower First Responders,B2B,B2B -> Security,Security
Ambition,Coaching and gamification software for sales teams.,B2B,B2B -> Sales,SaaS|B2B
Amboras,AI Native Shopify,B2B,B2B,
Ambral,AI for account management and customer success,B2B,B2B -> Sales,
Amby Health,The health coach that texts you first,Healthcare,Healthcare -> Consumer Health and Wellness,SaaS|Health Tech|Digital Health|Healthcare|Health & Wellness
Amenli,Offers insurance to customers in a convenient & transparent way,Fintech,Fintech -> Insurance,Fintech|Insurance
Amera,Automating claims processing workflows for health insurance payers.,Fintech,Fintech -> Insurance,
Amika,Infra to build your own software factory,B2B,B2B -> Infrastructure,Machine Learning|B2B|Infrastructure|AI
amiloz,Micro-lender in Mexico,Fintech,Fintech -> Credit and Lending,Fintech|Lending|Consumer Finance
AminoAnalytica,The AI scientist for always-on biodefense,Healthcare,Healthcare -> Diagnostics,Nanosensors|Synthetic Biology|Biotech|Diagnostics
Amorphic Labs,OpenRouter for Agent Capabilities,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Marketplace|B2B
Amplitude,Digital Analytics Platform,B2B,B2B -> Analytics,Developer Tools|B2B|Analytics|Marketing|Data Visualization
AmpUp,We make EV charging as simple and reliable as LED lights,Consumer,Consumer -> Home and Personal,Climate|Electric Vehicles
Amulyte,Remote monitoring & activity tracking system for seniors.,Healthcare,Healthcare -> Consumer Health and Wellness,Health Tech
Anakin,One API to get clean data from any website for your AI agents at scale,B2B,B2B -> Analytics,Artificial Intelligence|Developer Tools|API
Anana,AI Workspace for Hospitality Commercial Teams,B2B,B2B,Artificial Intelligence|B2B
Ananya Health,Portable cryoablation to prevent cervical cancer,Healthcare,Healthcare -> Medical Devices,Hardware|Health Tech|Medical Devices
Anara,AI for researchers,B2B,B2B -> Productivity,Artificial Intelligence|Consumer|B2B
Ancana,"Marketplace for vacation home co-ownership, fully managed",Consumer,"Consumer -> Travel, Leisure and Tourism",Marketplace|Real Estate|Travel|Proptech
Anchor,Embedded finance platform for African businesses,Fintech,Fintech,Banking as a Service|Fintech|Payments|B2B|API
Anchorhead,Evals for frontier research agents,B2B,"B2B -> Engineering, Product and Design",Reinforcement Learning
And Comfort,And Comfort is a direct to consumer fashion brand.,Consumer,Consumer -> Apparel and Cosmetics,Fashion
Andco,Agents that build personal injury cases,B2B,B2B -> Legal,
Andi,AI Search for the Next Generation,Consumer,Consumer -> Content,Artificial Intelligence|Generative AI|Consumer|API|Search
Andon Labs,Autonomous organizations without humans in the loop,B2B,"B2B -> Engineering, Product and Design",Machine Learning|AI
Andromeda Surgical,Autonomous surgical robots,Healthcare,Healthcare -> Medical Devices,Hard Tech|Machine Learning|Medical Robotics|Medical Devices|AI
Andson Biotech,Empowering Mass Spec for Biotech and Beyond,Healthcare,Healthcare,Gene Therapy|Hard Tech|Biotech|Healthcare|Therapeutics
Andy AI,Faster clinical documentation for home health nurses,Healthcare,Healthcare -> Healthcare IT,Artificial Intelligence|SaaS|Health Tech|B2B|Healthcare
Anfin,A multi-asset trading platform dedicated to retail investors,Fintech,Fintech -> Asset Management,Fintech|Consumer|Investing
Angle Health,Health Insurance for Startups,Fintech,Fintech -> Insurance,Health Insurance
Anglera,AI-Powered Product Data Enrichment,B2B,B2B -> Retail,Artificial Intelligence|Machine Learning|SaaS|B2B|E-commerce
Anima,The next generation care enablement platform,Healthcare,Healthcare,Deep Learning|SaaS|Consumer Health Services
Anima App,Anima - Design Agent | AgentGrid.io - Shared drive for humans & agents,B2B,"B2B -> Engineering, Product and Design",Developer Tools|SaaS|B2B|Design Tools|AI
Anja Health,Cord Blood Banking Reimagined,Healthcare,Healthcare -> Consumer Health and Wellness,Consumer Health Services|Consumer|Healthcare
Anjuna,Anjuna enabled organizations to trust any infrastructure,B2B,B2B -> Security,Cloud Workload Protection|Security
Ankr Health,Virtualizing brick-mortar infrastructures of clinics w/ generative AI,Healthcare,Healthcare,Generative AI|Telehealth|B2B|Digital Health|Telemedicine
AnnieCannons,Connecting Survivors to Careers in Tech,Education,Education,Assistive Tech|SaaS|Civic Tech
ANORIA,The first wearable that reads your emotions to enhance your EQ.,Consumer,Consumer -> Consumer Electronics,
Ansa Biotechnologies,Next-generation DNA synthesis using enzymes,Healthcare,Healthcare -> Industrial Bio,Synthetic Biology|Biotech
AnswerThis,End-to-end workspace to accelerate scientific discovery,Consumer,Consumer,
Anthrogen,We're training the next generation of protein foundation models.,Healthcare,Healthcare,Artificial Intelligence|Deep Learning|Biotech
Antigen,Continuous offensive security for the enterprise.,B2B,"B2B -> Engineering, Product and Design",Cybersecurity|AI
antimattr,voice-first hardware interface for human-agent interaction,Consumer,Consumer -> Consumer Electronics,Hardware|Consumer|AI
Anto Biosciences,A Foundation Model for Microbial Communities.,Healthcare,Healthcare,Artificial Intelligence|Generative AI|Biotech|Genomics|Drug discovery
Antropi Robotics,Autonomous CNC factories for faster hardware,Industrials,Industrials -> Manufacturing and Robotics,Robotics|Manufacturing
AntWalk,An employee up-skilling platform for fast growing companies,Education,Education,Education|eLearning|Enterprise
AnyList,"One app for stress-free shopping, cooking, and meal planning.",Consumer,Consumer -> Home and Personal,E-commerce|Food & Beverage
AnythingLLM,Building the definitive all-in-one on-device AI productivity tool,Consumer,Consumer,Artificial Intelligence|Open Source|AI Assistant
AOA Dx,Blood Test for Early Detection of Ovarian Cancer,Healthcare,Healthcare -> Diagnostics,Healthcare|Diagnostics|Women's Health
AON3D,Additive Manufacturing with advanced materials,Industrials,Industrials -> Manufacturing and Robotics,Hardware|3D Printing|Manufacturing
Apartio,Apartio offers Short Term Rentals for Business Travelers in Brazil,Fintech,Fintech -> Consumer Finance,Fintech|Subscriptions
Apero Health,Modern medical billing,Healthcare,Healthcare -> Healthcare IT,Health Tech|Finance|Digital Health|Enterprise Software
Apolink,24/7 satellite connectivity in low Earth orbit,Industrials,Industrials -> Aviation and Space,
Apollo,Apollo helps engineering teams accelerate delivery,B2B,B2B -> Infrastructure,Developer Tools|Open Source|GraphQL
Apollo,Payments & Loyalty Infrastructure,Fintech,Fintech,DeFi|Fintech|Crypto / Web3
Apollo,The card that rewards you with stock,Fintech,Fintech -> Consumer Finance,Fintech
"Apollo Atomics, Inc.",We make the most compact nuclear reactors,Industrials,Industrials -> Energy,
Apollo.io,Apollo is the foundation of your entire go-to-market strategy.,B2B,B2B -> Marketing,Sales|Marketing
Apoxy,Simpler and cheaper multi-cloud and cross-platform deployments.,B2B,B2B -> Infrastructure,
Apozy,Apozy makes every website safe to browse,B2B,B2B -> Security,Security
Appcubator,The easiest way to prototype web applications.,B2B,"B2B -> Engineering, Product and Design",No-code
AppHarbor,.NET Cloud Platform as a Service,B2B,B2B -> Infrastructure,Cloud Computing
